identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-06-23,27.58,28.04,113000.0,13.026,13.9595
00660,2020-06-23,23.36,23.34,82000.0,23.214,22.899499999999996
00662,2020-06-23,38.76,38.65,1131338.0,38.218,37.495
00663L,2020-06-23,45.98,45.46,151000.0,45.154,43.391999999999996
00664R,2020-06-23,10.78,10.82,2770000.0,10.876,11.1155
00665L,2020-06-23,21.4,21.43,941000.0,21.056,20.985
00666R,2020-06-23,13.34,13.29,119000.0,13.422,13.535499999999999
00668,2020-06-23,28.1,27.95,401241.0,28.038,27.27
00668K,2020-06-23,9.48,9.48,100.0,9.478,9.4695
00669R,2020-06-23,11.29,11.32,11040000.0,11.346,11.436
00670L,2020-06-23,52.85,52.6,3819321.0,51.44,49.1325
00671R,2020-06-23,8.59,8.58,4900000.0,8.702,8.9365
00673R,2020-06-23,30.89,30.96,759000.0,32.108000000000004,33.8325
00674R,2020-06-23,13.88,13.86,412000.0,14.026,14.15
00675L,2020-06-23,19.99,19.8,345000.0,19.622,18.919
00676R,2020-06-23,5.83,5.87,3919000.0,5.89,6.0175
00677U,2020-06-23,6.23,6.33,592059300.0,6.587999999999999,6.183999999999999
00678,2020-06-23,26.58,26.55,264731.0,25.830000000000002,25.5535
00680L,2020-06-23,31.07,31.25,140100.0,30.915999999999997,30.920499999999997
00681R,2020-06-23,12.75,12.81,4000.0,12.862,12.9265
00682U,2020-06-23,19.49,19.46,27000.0,19.445999999999998,19.469
00683L,2020-06-23,19.23,19.25,189000.0,19.278,19.4455
00684R,2020-06-23,18.28,18.33,8000.0,18.288,18.2375
00685L,2020-06-23,17.09,16.91,22000.0,16.866,16.2235
00686R,2020-06-23,6.37,6.4,110000.0,6.424000000000001,6.558
00688L,2020-06-23,31.59,31.59,100000.0,31.32,31.368000000000002
00689R,2020-06-23,13.15,13.14,120000.0,13.174000000000001,13.238999999999999
00690,2020-06-23,23.45,23.44,220045.0,23.228,22.785500000000003
00692,2020-06-23,23.19,23.19,3100758.0,23.076,22.713
00693U,2020-06-23,14.47,14.27,3011000.0,14.218,13.991000000000003
00700,2020-06-23,18.45,18.63,244219.0,18.48,18.4985
00701,2020-06-23,20.76,20.82,899654.0,20.814,20.6935
00702,2020-06-23,16.41,16.53,97179.0,16.701999999999998,16.934
00703,2020-06-23,21.57,21.8,317000.0,21.368000000000002,21.015
00706L,2020-06-23,17.45,17.32,3000.0,17.389999999999997,17.2045
00707R,2020-06-23,19.41,19.41,1000.0,19.436,19.5795
00708L,2020-06-23,28.5,28.51,6477000.0,27.836000000000002,27.4565
00709,2020-06-23,19.16,19.16,121454.0,19.008,18.916000000000004
00710B,2020-06-23,18.73,18.66,238000.0,18.740000000000002,18.839499999999997
00711B,2020-06-23,21.81,21.78,149000.0,21.741999999999997,21.811500000000002
00712,2020-06-23,10.7,10.62,6796198.0,10.959999999999999,10.931
00713,2020-06-23,31.4,31.44,74700.0,31.48,31.347999999999995
00714,2020-06-23,18.58,18.52,62000.0,18.948,18.889
00715L,2020-06-23,6.26,6.14,12980021.0,6.264,5.971
00717,2020-06-23,16.52,16.48,822983.0,16.558,16.687
00728,2020-06-23,20.47,20.28,265000.0,20.101999999999997,19.7155
00730,2020-06-23,17.15,17.17,280114.0,17.174,17.095499999999998
00731,2020-06-23,45.99,45.83,1023005.0,45.772000000000006,45.481
00732,2020-06-23,37.65,37.64,101000.0,37.61,37.765
00733,2020-06-23,23.01,22.75,255782.0,22.226000000000003,21.526000000000003
00735,2020-06-23,21.31,21.15,305000.0,20.877999999999997,20.595
00736,2020-06-23,18.58,18.53,449132.0,18.36,18.1445
00737,2020-06-23,23.24,23.32,985371.0,23.158,23.115000000000002
00738U,2020-06-23,19.57,19.41,2556000.0,19.336000000000002,19.580000000000002
00739,2020-06-23,21.69,21.78,973926.0,21.406,21.04
00742,2020-06-23,20.98,20.98,267000.0,20.997999999999998,20.898
00743,2020-06-23,21.6,21.71,42229.0,21.152,20.801
00752,2020-06-23,24.85,25.2,3562445.0,24.632,24.036
00753L,2020-06-23,26.76,27.15,2170000.0,26.298000000000002,24.830000000000002
00757,2020-06-23,30.15,30.42,422000.0,30.127999999999997,29.109500000000004
00762,2020-06-23,28.66,28.52,270160.0,28.238,28.028
00763U,2020-06-23,17.97,17.95,59000.0,17.694,17.2775
00770,2020-06-23,27.57,27.61,187000.0,27.258,26.933999999999997
00771,2020-06-23,18.73,18.68,202000.0,18.742,18.861
00774B,2020-06-23,38.67,38.67,2000.0,38.769999999999996,38.973
00775B,2020-06-23,45.62,45.62,2000.0,45.654,45.2445
00783,2020-06-23,19.06,19.13,1022000.0,18.913999999999998,18.469
008201,2020-06-23,100.0,101.35,1300.0,99.78,98.9425
00830,2020-06-23,18.62,18.68,968350.0,18.544,18.200499999999998
00850,2020-06-23,22.45,22.47,3441482.0,22.39,21.972
00851,2020-06-23,24.16,24.28,145000.0,23.762,23.284
00852L,2020-06-23,12.54,12.45,38936000.0,12.436,12.5735
00861,2020-06-23,21.52,21.55,5933786.0,21.414,21.064
00865B,2020-06-23,39.12,39.1,133000.0,39.176,39.32600000000001
00866,2020-06-23,19.0,19.19,31000.0,19.121999999999996,19.129
00875,2020-06-23,25.24,25.18,1876592.0,24.956,24.655
00876,2020-06-23,20.0,20.0,0.0,,
01001T,2020-06-23,16.64,16.64,0.0,16.646,16.609
01002T,2020-06-23,17.0,17.0,44490.0,17.014,17.001
01003T,2020-06-23,19.0,19.0,424720.0,19.072,18.9895
01004T,2020-06-23,14.58,14.6,30000.0,14.569999999999999,14.506499999999999
01007T,2020-06-23,17.7,17.7,16000.0,17.727999999999998,17.651
1101,2020-06-23,43.0,42.7,14822471.94,42.86,43.1175
1102,2020-06-23,43.5,43.25,7722347.0,43.56,44.1825
1103,2020-06-23,18.0,17.8,1625390.0,17.61,17.009999999999998
1104,2020-06-23,18.05,17.95,300703.0,18.06,17.907500000000002
1108,2020-06-23,9.98,9.83,623706.0,10.136,9.4655
1109,2020-06-23,18.1,18.0,111528.0,18.03,17.9475
1110,2020-06-23,16.2,16.1,106000.0,16.380000000000003,16.365000000000002
1305,2020-06-23,19.3,18.95,1519306.95,19.09,19.275
1201,2020-06-23,23.2,22.75,5148935.0,22.52,22.4925
1203,2020-06-23,29.4,29.1,133298.0,28.82,28.5
1210,2020-06-23,43.35,43.1,857124.0,43.64,43.572500000000005
1213,2020-06-23,6.66,6.16,17176.0,6.3500000000000005,5.944
1215,2020-06-23,72.0,72.4,2237028.0,73.3,73.26500000000001
1216,2020-06-23,71.4,72.1,8002518.0,72.23999999999998,72.845
1217,2020-06-23,7.81,7.65,4215016.0,7.69,7.419500000000001
