identifier,date_,open_,close_,MA_5,MA_20
00657K,2020-10-12,29.18,29.18,29.068,17.5435
00660,2020-10-12,23.34,23.53,23.072,23.2505
00661,2020-10-12,29.83,29.83,29.644,29.53
00662,2020-10-12,43.13,43.56,42.534000000000006,42.2275
00663L,2020-10-12,60.5,60.4,58.6,57.782500000000006
00664R,2020-10-12,9.25,9.25,9.4,9.489999999999998
00665L,2020-10-12,20.35,21.24,19.956,20.2405
00666R,2020-10-12,13.01,12.75,13.294,13.284
00668,2020-10-12,29.46,29.55,29.183999999999997,29.045499999999997
00668K,2020-10-12,10.29,10.29,10.138,9.977999999999998
00669R,2020-10-12,10.08,10.04,10.244,10.428999999999998
00670L,2020-10-12,69.1,69.75,66.11,63.8325
00671R,2020-10-12,7.22,7.18,7.378,7.5485
00673R,2020-10-12,30.2,30.05,30.870000000000005,31.1815
00674R,2020-10-12,12.65,12.58,12.818000000000001,12.745000000000001
00675L,2020-10-12,26.1,26.08,25.292,24.9195
00676R,2020-10-12,5.03,5.02,5.108,5.1555
00677U,2020-10-12,4.33,4.27,4.642,4.786499999999999
00678,2020-10-12,26.2,26.23,25.689999999999998,25.219
00680L,2020-10-12,30.08,30.01,30.131999999999998,31.294999999999998
00681R,2020-10-12,12.7,12.7,12.687999999999999,12.514
00682U,2020-10-12,18.6,18.55,18.656,18.6785
00683L,2020-10-12,17.75,17.58,17.887999999999998,17.9435
00684R,2020-10-12,18.76,18.73,18.7,18.7145
00685L,2020-10-12,22.98,22.86,22.214000000000002,21.924500000000002
00686R,2020-10-12,5.47,5.48,5.568,5.617
00688L,2020-10-12,30.25,30.26,30.356,31.639999999999997
00689R,2020-10-12,13.02,13.02,13.033999999999997,12.8415
00690,2020-10-12,25.89,25.96,25.448,25.3005
00692,2020-10-12,27.23,27.25,26.77,26.538
00693U,2020-10-12,16.5,16.62,16.178,15.8345
00700,2020-10-12,17.8,18.25,17.64,17.9495
00701,2020-10-12,20.6,20.6,20.598000000000003,20.7085
00702,2020-10-12,16.51,16.35,16.154000000000003,16.1085
00703,2020-10-12,23.69,24.37,23.467999999999996,23.4155
00706L,2020-10-12,17.61,17.62,17.568,17.698
00707R,2020-10-12,19.08,19.07,19.080000000000002,19.087
00708L,2020-10-12,32.04,32.24,31.314,31.948
00709,2020-10-12,19.55,19.58,19.272,19.4345
00710B,2020-10-12,18.54,18.5,18.482,18.666
00711B,2020-10-12,21.88,21.82,21.802,22.1345
00712,2020-10-12,10.89,10.93,10.834,10.95
00713,2020-10-12,33.23,33.09,33.048,33.090999999999994
00714,2020-10-12,18.64,18.78,18.566,18.444499999999998
00715L,2020-10-12,3.39,3.41,3.372,3.5125
00717,2020-10-12,16.74,16.72,16.732,16.7585
00728,2020-10-12,22.8,22.79,22.14,21.982999999999997
00730,2020-10-12,17.35,17.33,17.25,17.270999999999997
00731,2020-10-12,46.79,46.6,46.574,46.7855
00732,2020-10-12,38.5,38.5,38.424,38.62050000000001
00733,2020-10-12,24.42,24.14,24.104,24.189
00735,2020-10-12,25.35,25.46,24.927999999999997,24.711999999999996
00736,2020-10-12,20.24,20.45,19.919999999999998,19.936500000000002
00737,2020-10-12,25.8,26.03,25.254,24.8685
00738U,2020-10-12,26.58,27.02,25.662,26.827499999999997
00739,2020-10-12,25.39,26.04,25.256,25.3325
00742,2020-10-12,21.03,20.87,20.912,20.956
00743,2020-10-12,25.41,26.4,25.345999999999997,25.4935
00752,2020-10-12,28.55,28.96,28.036,27.922499999999996
00753L,2020-10-12,34.5,35.65,33.412,32.67700000000001
00757,2020-10-12,39.3,39.56,38.948,37.9405
00762,2020-10-12,32.56,32.67,31.472,30.628500000000003
00763U,2020-10-12,20.36,20.37,19.842000000000002,20.0385
00770,2020-10-12,30.61,30.79,30.086000000000002,29.766499999999997
00771,2020-10-12,19.12,19.12,19.080000000000002,19.0905
00774B,2020-10-12,39.04,38.78,38.672000000000004,38.847
00775B,2020-10-12,44.65,44.65,44.264,45.35
00783,2020-10-12,21.4,21.85,21.034,21.2545
008201,2020-10-12,119.0,121.0,116.08,118.11500000000001
00830,2020-10-12,21.79,21.93,21.119999999999997,20.491
00850,2020-10-12,26.42,26.48,25.936,25.73
00851,2020-10-12,28.15,28.14,27.580000000000002,27.087
00852L,2020-10-12,14.54,14.65,14.163999999999998,13.870500000000002
00861,2020-10-12,23.85,23.94,23.407999999999998,23.2915
00865B,2020-10-12,37.93,37.85,37.978,38.345000000000006
00866,2020-10-12,20.87,20.95,20.47,20.472
00875,2020-10-12,26.86,26.99,26.264,25.971999999999998
00876,2020-10-12,21.7,22.0,21.226,20.880000000000003
00878,2020-10-12,14.67,14.65,14.624,14.673000000000002
01001T,2020-10-12,18.36,18.36,18.37,18.3265
01002T,2020-10-12,18.4,18.43,18.406,18.43
01003T,2020-10-12,20.6,20.62,20.671999999999997,20.228
01004T,2020-10-12,16.29,16.35,16.32,16.167499999999997
01007T,2020-10-12,19.0,19.0,18.97,18.932000000000002
1101,2020-10-12,41.15,40.95,41.34,41.792500000000004
1102,2020-10-12,41.1,40.7,41.38,41.802499999999995
1103,2020-10-12,16.0,15.8,15.84,16.2275
1104,2020-10-12,19.95,20.95,19.43,19.552500000000002
1108,2020-10-12,11.35,11.3,11.0,11.254999999999999
1109,2020-10-12,19.8,19.6,19.740000000000002,19.830000000000002
1110,2020-10-12,16.55,16.6,16.5,16.4
1305,2020-10-12,20.05,20.35,19.95,20.582500000000003
1201,2020-10-12,20.1,20.05,20.020000000000003,20.052500000000002
1203,2020-10-12,33.65,33.9,32.86,190.76000000000002
1210,2020-10-12,44.7,44.9,43.660000000000004,43.3675
1213,2020-10-12,9.74,9.53,9.828,9.7325
1215,2020-10-12,67.7,67.1,67.12,67.09
1216,2020-10-12,62.8,63.1,62.879999999999995,64.015
1217,2020-10-12,7.57,7.5,7.550000000000002,7.6735
1218,2020-10-12,22.3,22.3,21.84,22.0475
1219,2020-10-12,19.2,18.95,19.050000000000004,19.18
1220,2020-10-12,11.8,11.7,11.540000000000001,11.502500000000001
1225,2020-10-12,31.9,31.95,31.830000000000002,32.46
1227,2020-10-12,63.8,61.6,62.160000000000004,62.56500000000001
1229,2020-10-12,40.3,40.3,40.15,40.4475
1231,2020-10-12,42.5,42.15,42.4,41.89
1232,2020-10-12,119.0,118.5,118.3,118.725
1233,2020-10-12,36.45,36.4,36.15,36.355000000000004
1234,2020-10-12,33.0,32.95,32.769999999999996,32.527499999999996
1235,2020-10-12,25.2,25.0,25.09,25.152495
1236,2020-10-12,13.5,13.35,13.37,13.365
