identifier,date_,open_,close_
00657K,2020-11-20,11.07,11.07
00660,2020-11-20,24.17,24.24
00661,2020-11-20,32.12,32.12
00662,2020-11-20,43.77,44.03
00663L,2020-11-20,69.05,69.3
00664R,2020-11-20,8.62,8.6
00665L,2020-11-20,24.05,24.22
00666R,2020-11-20,11.85,11.85
00668,2020-11-20,30.23,30.18
00668K,2020-11-20,10.55,10.55
00669R,2020-11-20,9.73,9.73
00670L,2020-11-20,70.9,71.6
00671R,2020-11-20,7.0,6.98
00673R,2020-11-20,28.71,28.7
00674R,2020-11-20,13.01,12.96
00675L,2020-11-20,29.69,29.78
00676R,2020-11-20,4.68,4.67
00677U,2020-11-20,4.03,3.99
00678,2020-11-20,25.42,25.46
00680L,2020-11-20,30.39,30.31
00681R,2020-11-20,12.52,12.5
00682U,2020-11-20,18.42,18.39
00683L,2020-11-20,17.44,17.39
00684R,2020-11-20,18.86,18.86
00685L,2020-11-20,26.14,26.16
00686R,2020-11-20,5.11,5.11
00688L,2020-11-20,30.52,30.55
00689R,2020-11-20,12.84,12.86
00690,2020-11-20,27.72,27.75
00692,2020-11-20,28.44,28.45
00693U,2020-11-20,18.21,18.33
00700,2020-11-20,19.32,19.38
00701,2020-11-20,21.56,21.55
00702,2020-11-20,16.99,16.98
00703,2020-11-20,25.03,24.97
00706L,2020-11-20,18.14,18.18
00707R,2020-11-20,18.67,18.67
00708L,2020-11-20,29.72,29.83
00709,2020-11-20,20.32,20.37
00710B,2020-11-20,18.6,18.65
00711B,2020-11-20,22.31,22.35
00712,2020-11-20,11.94,11.92
00713,2020-11-20,33.8,33.7
00714,2020-11-20,18.69,18.77
00715L,2020-11-20,3.54,3.55
00717,2020-11-20,16.8,16.79
00728,2020-11-20,24.35,24.49
00730,2020-11-20,17.35,17.33
00731,2020-11-20,47.03,46.95
00732,2020-11-20,39.25,39.25
00733,2020-11-20,24.49,24.7
00735,2020-11-20,27.2,27.25
00736,2020-11-20,21.46,21.59
00737,2020-11-20,27.61,27.71
00738U,2020-11-20,25.39,25.55
00739,2020-11-20,26.34,26.38
00742,2020-11-20,21.55,21.55
00743,2020-11-20,27.37,27.57
00752,2020-11-20,29.98,30.15
00753L,2020-11-20,38.11,37.9
00757,2020-11-20,39.45,39.73
00762,2020-11-20,33.0,33.08
00763U,2020-11-20,21.3,21.28
00770,2020-11-20,31.07,31.12
00771,2020-11-20,19.22,19.18
00774B,2020-11-20,38.56,38.5
00775B,2020-11-20,45.54,45.54
00783,2020-11-20,21.74,21.84
008201,2020-11-20,124.5,124.5
00830,2020-11-20,23.22,23.26
00850,2020-11-20,27.43,27.4
00851,2020-11-20,27.4,27.51
00852L,2020-11-20,15.21,15.22
00861,2020-11-20,24.99,25.06
00865B,2020-11-20,37.51,37.51
00866,2020-11-20,21.56,21.6
00875,2020-11-20,26.2,26.32
00876,2020-11-20,23.99,24.08
00878,2020-11-20,15.19,15.23
01001T,2020-11-20,18.4,18.4
01002T,2020-11-20,18.71,18.7
01003T,2020-11-20,19.63,19.62
01004T,2020-11-20,16.96,16.82
01007T,2020-11-20,19.42,19.4
1101,2020-11-20,42.75,42.7
1102,2020-11-20,44.2,44.1
1103,2020-11-20,17.65,17.5
1104,2020-11-20,22.8,23.25
1108,2020-11-20,11.3,11.2
1109,2020-11-20,20.3,20.2
1110,2020-11-20,17.0,17.0
1201,2020-11-20,20.7,20.65
1203,2020-11-20,36.3,36.5
1210,2020-11-20,46.3,46.15
1213,2020-11-20,8.63,8.88
1215,2020-11-20,71.0,71.4
1216,2020-11-20,68.4,68.1
1305,2020-11-20,22.95,22.8
1217,2020-11-20,8.01,8.21
1218,2020-11-20,23.25,23.15
1219,2020-11-20,19.0,19.05
1220,2020-11-20,12.35,12.2
1225,2020-11-20,33.05,32.65
1227,2020-11-20,61.9,61.6
1229,2020-11-20,41.1,41.0
1231,2020-11-20,44.45,44.3
1232,2020-11-20,126.0,125.5
1233,2020-11-20,36.0,35.95
1234,2020-11-20,33.0,33.0
1235,2020-11-20,25.2499,25.05
1236,2020-11-20,13.6,13.5
1256,2020-11-20,316.5,311.5
1301,2020-11-20,88.0,88.3
1303,2020-11-20,65.3,65.7
1304,2020-11-20,19.25,19.8
1307,2020-11-20,21.4,22.7
1308,2020-11-20,19.05,19.1
1309,2020-11-20,30.55,30.9
1310,2020-11-20,16.95,16.9
1312,2020-11-20,24.15,23.5
1312A,2020-11-20,30.2,30.45
1313,2020-11-20,15.75,15.65
1314,2020-11-20,8.76,8.67
1315,2020-11-20,73.9,75.4
1316,2020-11-20,11.75,11.7
1319,2020-11-20,38.5,38.6
1321,2020-11-20,35.55,35.4
1323,2020-11-20,33.05,33.05
1324,2020-11-20,9.91,9.96
1325,2020-11-20,114.0,111.5
1326,2020-11-20,79.8,79.8
1337,2020-11-20,8.37,7.97
1338,2020-11-20,58.0,59.0
1339,2020-11-20,43.1,43.25
1340,2020-11-20,12.8,12.65
1402,2020-11-20,28.1,28.15
1449,2020-11-20,32.4932,32.4932
1409,2020-11-20,11.9,11.85
1410,2020-11-20,33.45,33.3
1413,2020-11-20,8.58,8.5
1414,2020-11-20,16.7,16.0
1416,2020-11-20,11.6,11.65
1417,2020-11-20,11.35,11.2
1418,2020-11-20,7.41,7.31
1419,2020-11-20,41.85,42.2
1423,2020-11-20,15.8,15.8
1432,2020-11-20,17.55,17.2
1434,2020-11-20,31.9,31.7
1435,2020-11-20,19.1,19.05
1436,2020-11-20,39.15,39.2
1437,2020-11-20,23.75,23.8
1438,2020-11-20,12.4,12.2
1439,2020-11-20,28.45,28.45
1440,2020-11-20,14.9,14.5
1441,2020-11-20,8.22,8.12
1442,2020-11-20,18.15,18.2
1443,2020-11-20,9.77,10.0
1444,2020-11-20,12.4,12.4
1445,2020-11-20,11.45,11.3
1446,2020-11-20,31.0,30.3
1447,2020-11-20,7.76,7.74
1451,2020-11-20,16.4,16.4
1452,2020-11-20,15.6,15.6
1453,2020-11-20,8.6,8.49
1454,2020-11-20,8.44,8.45
1455,2020-11-20,9.24,9.17
1456,2020-11-20,10.7,10.1
1457,2020-11-20,14.85,14.9
1459,2020-11-20,8.16,8.26
1460,2020-11-20,9.47,9.47
1463,2020-11-20,12.25,12.1
1464,2020-11-20,18.35,18.35
1465,2020-11-20,12.9,12.9
1466,2020-11-20,19.0,19.1
1467,2020-11-20,19.1,19.7
1468,2020-11-20,11.85,12.25
1470,2020-11-20,17.95,17.95
1471,2020-11-20,5.76,5.87
1472,2020-11-20,9.58,9.69
1473,2020-11-20,18.0,18.0
1474,2020-11-20,12.7,12.7
1475,2020-11-20,23.0,23.0
1476,2020-11-20,417.0,412.5
1477,2020-11-20,186.5,190.0
1503,2020-11-20,51.3,51.2
1504,2020-11-20,29.95,29.55
1506,2020-11-20,10.45,10.5
1507,2020-11-20,66.2,66.2
1512,2020-11-20,4.47,4.45
1513,2020-11-20,50.6,49.65
1514,2020-11-20,27.15,26.95
1515,2020-11-20,77.2,77.8
1516,2020-11-20,21.9,21.85
1517,2020-11-20,14.65,14.6
1519,2020-11-20,50.9,50.3
1521,2020-11-20,56.1,56.6
1522,2020-11-20,21.55,21.5
1524,2020-11-20,9.45,9.43
1525,2020-11-20,69.3,68.9
1526,2020-11-20,51.7,50.9
1527,2020-11-20,41.6,41.5
1528,2020-11-20,8.14,8.13
1529,2020-11-20,14.25,14.35
1530,2020-11-20,30.0,30.05
1531,2020-11-20,11.8,11.9
1532,2020-11-20,33.7,33.05
1533,2020-11-20,32.9,32.75
1535,2020-11-20,34.45,33.9
1536,2020-11-20,96.3,96.5
1537,2020-11-20,140.0,139.0
1538,2020-11-20,7.49,7.56
1539,2020-11-20,19.45,19.55
1540,2020-11-20,14.9,14.9
1541,2020-11-20,52.0,52.3
1558,2020-11-20,140.0,139.0
1560,2020-11-20,60.3,60.2
1568,2020-11-20,17.6,18.3
1582,2020-11-20,86.6,86.8
1583,2020-11-20,60.0,60.0
1587,2020-11-20,27.95,27.5
1589,2020-11-20,93.0,91.8
1590,2020-11-20,816.0,824.0
1592,2020-11-20,9.55,9.54
1598,2020-11-20,119.0,120.0
1603,2020-11-20,29.3,28.75
1604,2020-11-20,26.85,26.5
1605,2020-11-20,17.95,18.0
1608,2020-11-20,10.9,11.0
1609,2020-11-20,19.15,19.0
1611,2020-11-20,11.2,11.1
1612,2020-11-20,15.55,15.2
1614,2020-11-20,35.7,35.8
1615,2020-11-20,22.9,22.7
1616,2020-11-20,5.63,5.63
1617,2020-11-20,13.1,13.1
1618,2020-11-20,11.6,11.45
1626,2020-11-20,25.3,25.2
1701,2020-11-20,23.55,23.55
1702,2020-11-20,45.75,45.95
1760,2020-11-20,101.0,100.5
1707,2020-11-20,168.5,167.5
1708,2020-11-20,22.6,22.55
1709,2020-11-20,14.35,14.35
1710,2020-11-20,17.3,17.35
1711,2020-11-20,16.5,16.5
1712,2020-11-20,20.6,20.45
1713,2020-11-20,18.3,18.25
1714,2020-11-20,9.87,9.9
1717,2020-11-20,34.8,34.7
1718,2020-11-20,8.89,8.85
1720,2020-11-20,38.0,37.8
1721,2020-11-20,10.1,10.25
1722,2020-11-20,53.0,52.5
1723,2020-11-20,99.0,98.7
1724,2020-11-20,12.7,12.8
1725,2020-11-20,14.25,14.3
1726,2020-11-20,70.8,71.4
1727,2020-11-20,10.75,10.65
1730,2020-11-20,71.8,72.4
1731,2020-11-20,17.35,17.25
1732,2020-11-20,21.65,21.8
1733,2020-11-20,24.4,24.4
1734,2020-11-20,33.2,32.8
1735,2020-11-20,16.95,17.15
1736,2020-11-20,81.0,80.5
1737,2020-11-20,32.55,32.6
1762,2020-11-20,64.7,64.0
1773,2020-11-20,105.5,104.0
1776,2020-11-20,16.15,16.05
1783,2020-11-20,23.45,23.5
1786,2020-11-20,64.7,64.1
1789,2020-11-20,29.0,28.85
1795,2020-11-20,86.8,86.5
1802,2020-11-20,15.6,15.95
1805,2020-11-20,10.1,10.1
1806,2020-11-20,6.38,6.55
1808,2020-11-20,62.7,62.0
1809,2020-11-20,11.85,11.85
1810,2020-11-20,9.09,9.05
1817,2020-11-20,32.5,32.5
1902,2020-11-20,2.38,2.38
1903,2020-11-20,67.6,67.0
1904,2020-11-20,31.75,32.0
1905,2020-11-20,9.94,9.93
1906,2020-11-20,14.7,14.7
1907,2020-11-20,22.9,23.05
1909,2020-11-20,17.05,17.0
2002,2020-11-20,22.0,22.0
2002A,2020-11-20,50.4,50.4
2006,2020-11-20,31.4,30.9
2007,2020-11-20,6.8,7.37
2008,2020-11-20,13.2,13.0
2009,2020-11-20,9.98,10.45
2010,2020-11-20,13.0,12.8
2012,2020-11-20,16.2,16.45
2013,2020-11-20,30.75,30.7
2014,2020-11-20,10.45,10.45
2015,2020-11-20,57.6,57.6
2017,2020-11-20,8.69,8.73
2020,2020-11-20,16.9,16.95
2022,2020-11-20,5.58,5.6
2023,2020-11-20,10.6,10.65
2024,2020-11-20,15.05,15.25
2025,2020-11-20,2.4,2.45
2027,2020-11-20,24.05,23.75
2028,2020-11-20,18.1,16.3
