date,identifier
2020-01-02,2351
2020-01-03,3058
2020-01-06,4526
2020-01-07,00673R
2020-01-08,5533
2020-01-09,9105
2020-01-10,1473
2020-01-13,6477
2020-01-14,4532
2020-01-15,2712
2020-01-16,3056
2020-01-17,3532
2020-01-20,6672
2020-01-30,1711
2020-01-31,00681R
2020-02-03,1536
2020-02-04,3535
2020-02-05,6452
2020-02-06,1457
2020-02-07,911622
2020-02-10,6416
2020-02-11,1528
2020-02-12,2530
2020-02-13,00639
2020-02-14,5706
2020-02-17,3312
2020-02-18,1475
2020-02-19,2356
2020-02-20,1104
2020-02-21,3030
2020-02-24,6531
2020-02-25,4739
2020-02-26,1339
2020-02-27,2504
2020-03-02,3682
2020-03-03,2231
2020-03-04,1529
2020-03-05,00703
2020-03-06,1474
2020-03-09,1465
2020-03-10,3002
2020-03-11,4919
2020-03-12,3037
2020-03-13,8039
2020-03-16,2542
2020-03-17,8271
2020-03-18,8101
2020-03-19,2431
2020-03-20,8466
2020-03-23,4155
2020-03-24,2109
2020-03-25,0054
2020-03-26,2505
2020-03-27,8033
2020-03-30,2354
2020-03-31,2493
2020-04-01,3059
2020-04-06,00656R
2020-04-07,00703
2020-04-08,2114
2020-04-09,8462
2020-04-10,2468
2020-04-13,2851
2020-04-14,3346
2020-04-15,2368
2020-04-16,6285
2020-04-17,1503
2020-04-20,6269
2020-04-21,3015
2020-04-22,1467
2020-04-23,2450
2020-04-24,1709
2020-04-27,2539
2020-04-28,6116
2020-04-29,6183
2020-04-30,2425
2020-05-04,3312
2020-05-05,2390
2020-05-06,00651R
2020-05-07,1789
2020-05-08,2017
2020-05-11,4934
2020-05-12,6209
2020-05-13,3031
2020-05-14,6197
2020-05-15,6269
2020-05-18,1301
2020-05-19,6416
2020-05-20,00643
2020-05-21,2104
2020-05-22,00743
2020-05-25,4148
2020-05-26,1609
2020-05-27,8163
2020-05-28,2905
2020-05-29,1432
2020-06-01,911608
2020-06-02,2104
2020-06-03,4560
2020-06-04,4526
2020-06-05,00636
2020-06-08,1339
2020-06-09,3056
2020-06-10,5534
2020-06-11,9943
2020-06-12,01007T
2020-06-15,6715
2020-06-16,00654R
2020-06-17,2207
2020-06-18,4532
2020-06-19,1304
2020-06-22,00673R
2020-06-23,2850
2020-06-24,3017
2020-06-26,1902
2020-06-29,1537
2020-06-30,006206
2020-07-01,2477
2020-07-02,3257
2020-07-03,1512
2020-07-06,006203
2020-07-07,2441
2020-07-08,9929
2020-07-09,2236
2020-07-10,3266
2020-07-13,4737
2020-07-14,5258
2020-07-15,6024
2020-07-16,1608
2020-07-17,2936
2020-07-20,2022
2020-07-21,4906
2020-07-22,5469
2020-07-23,3711
2020-07-24,1582
2020-07-27,2429
2020-07-28,2613
2020-07-29,8112
2020-07-30,00650L
2020-07-31,9908
2020-08-03,2886
2020-08-04,1476
2020-08-05,8112
2020-08-06,00706L
2020-08-07,2013
2020-08-10,2421
2020-08-11,8996
2020-08-12,2358
2020-08-13,2739
2020-08-14,2543
2020-08-17,2444
2020-08-18,6533
2020-08-19,8101
2020-08-20,1312A
2020-08-21,00683L
2020-08-24,4137
2020-08-25,3026
2020-08-26,1418
2020-08-27,2883
2020-08-28,8940
2020-08-31,1618
2020-09-01,8101
2020-09-02,1256
2020-09-03,1538
2020-09-04,3042
2020-09-07,8482
2020-09-08,4912
2020-09-09,6005
2020-09-10,2498
2020-09-11,9907
2020-09-14,50
2020-09-15,3266
2020-09-16,2032
2020-09-17,3130
2020-09-18,2850
2020-09-21,00866
2020-09-22,1762
2020-09-23,3622
2020-09-24,2545
2020-09-25,2356
2020-09-28,1474
2020-09-29,1453
2020-09-30,5264
2020-10-05,2009
2020-10-06,8011
2020-10-07,9940
2020-10-08,3018
2020-10-09,1902
2020-10-12,2102
2020-10-13,1475
2020-10-14,4551
2020-10-15,3004
2020-10-16,5538
2020-10-19,1776
2020-10-20,4564
2020-10-21,3708
2020-10-22,6625
2020-10-23,6581
2020-10-26,2608
2020-10-27,2239
2020-10-28,2204
2020-10-29,2426
2020-10-30,2033
2020-11-02,2456
2020-11-03,2520
2020-11-04,00665L
2020-11-05,6282
2020-11-06,6269
2020-11-09,2618
2020-11-10,1603
2020-11-11,4439
2020-11-12,3023
2020-11-13,3031
2020-11-16,00738U
2020-11-17,00662
2020-11-18,006204
2020-11-19,8104
2020-11-20,00738U
2020-11-23,2243
2020-11-24,6177
2020-11-25,3501
2020-11-26,2816
2020-11-27,5434
2020-11-30,2383
2020-12-01,3501
2020-12-02,3607
2020-12-03,1410
2020-12-04,3031
2020-12-07,1321
2020-12-08,2832
2020-12-09,00688L
2020-12-10,9918
2020-12-11,8101
2020-12-14,8222
2020-12-15,1402
2020-12-16,00634R
2020-12-17,3035
2020-12-18,1475
2020-12-21,2618
2020-12-22,1732
2020-12-23,2520
2020-12-24,1725
2020-12-25,2392
2020-12-28,6442
2020-12-29,1409
2020-12-30,5906
2020-12-31,1312
